ID,TAXONOMY
115501,
115502,207RH0003X
115503,
115504,
115505,2084P0800X
115506,
115507,
115508,
115509,
115510,
115511,2084N0400X
115512,
115513,2084P0800X
115514,
115515,
115516,
115517,
115518,
115519,
115520,
115521,
115522,
115523,
115524,
115525,
115526,
115527,
115528,
115529,
115530,2084A0401X
115531,
115532,363A00000X
115533,
115534,
115535,
115536,207N00000X
115537,2084N0600X
115538,207Q00000X
115539,
115540,
115541,
115542,2084P0800X
115543,
115544,
115545,207R00000X
115546,
115547,
115548,
115549,
115550,
115551,
115552,2084P0800X
115553,
115554,
115555,207RH0003X
115556,207Q00000X
115557,
115558,
115559,
115560,
115561,
115562,
115563,
115564,
115565,
115566,207R00000X
115567,
115568,
115569,
115570,
115571,
115572,
115573,
115574,
115575,
115576,
115577,2084P0800X
115578,364SP0807X
115579,2084N0400X
115580,2084P0800X
115581,
115582,207RG0100X
115583,
115584,
115585,
115586,
115587,207R00000X
115588,
115589,
115590,
115591,
115592,
115593,
115594,
115595,207Q00000X
115596,
115597,
115598,2084P0800X
115599,
115600,
115601,207P00000X
115602,
115603,
115604,
115605,363LF0000X
115606,
115607,2084N0600X
115608,207QS0010X
115609,
115610,2084N0400X
115611,
115612,
115613,
115614,
115615,
115616,2084P0800X
115617,2084P0805X
115618,
115619,
115620,
115621,
115622,207ZP0102X
115623,207R00000X
115624,2084N0400X
115625,
115626,2084N0400X
115627,
115628,207RR0500X
115629,
115630,
115631,
115632,
115633,
115634,2084N0400X
115635,207Q00000X
115636,
115637,
115638,
115639,
115640,
115641,
115642,
115643,
115644,207RH0003X
115645,
115646,207RP1001X
115647,207N00000X
115648,
115649,
115650,
115651,
115652,
115653,207R00000X
115654,207T00000X
115655,
115656,
115657,2084N0402X
115658,
115659,
115660,
115661,
115662,
115663,
115664,2084P0800X
115665,207L00000X
115666,
115667,
115668,2084N0400X
115669,
115670,
115671,207RP1001X
115672,
115673,
115674,
115675,
115676,
115677,
115678,
115679,
115680,
115681,2084N0400X
115682,207W00000X
115683,207R00000X
115684,
115685,
115686,
115687,
115688,
115689,
115690,
115691,
115692,
115693,
115694,
115695,
115696,
115697,207R00000X
115698,
115699,
115700,208000000X
115701,
115702,
115703,207T00000X
115704,207Q00000X
115705,
115706,2084N0400X
115707,
115708,
115709,
115710,
115711,207RG0100X
115712,
115713,
115714,
115715,
115716,
115717,
115718,
115719,
115720,2084N0400X
115721,
115722,
115723,
115724,
115725,
115726,
115727,
115728,
115729,
115730,
115731,
115732,207Q00000X
115733,
115734,
115735,2084P0800X
115736,2084N0400X
115737,2084N0400X
115738,
115739,2084N0600X
115740,
115741,2084N0400X
115742,207Q00000X
115743,
115744,
115745,
115746,
115747,207Q00000X
115748,
115749,
115750,
115751,
115752,
115753,
115754,208000000X
115755,
115756,
115757,
115758,
115759,
115760,
115761,
115762,
115763,207RG0100X
115764,2084N0400X
115765,
115766,
115767,
115768,
115769,
115770,207R00000X
115771,2084P0800X
115772,207Q00000X
115773,
115774,
115775,
115776,
115777,
115778,208000000X
115779,2084P0800X
115780,
115781,
115782,2084P0800X
115783,
115784,2084N0400X
115785,2084P0800X
115786,
115787,
115788,207Q00000X
115789,
115790,
115791,
115792,
115793,
115794,
115795,
115796,207RC0000X
115797,
115798,
115799,
115800,2084P0804X
115801,
115802,207Q00000X
115803,
115804,207R00000X
115805,
115806,
115807,
115808,
115809,
115810,
115811,
115812,
115813,
115814,207R00000X
115815,207R00000X
115816,2084P0804X
115817,
115818,2084N0400X
115819,
115820,
115821,
115822,
115823,
115824,
115825,
115826,2084P0804X
115827,2084P0800X
115828,207Q00000X
115829,
115830,
115831,
115832,
115833,2084P0800X
115834,
115835,
115836,363AM0700X
115837,
115838,
115839,2084P0800X
115840,
115841,
115842,207Q00000X
115843,2084P0800X
115844,
115845,
115846,
115847,
115848,
115849,
115850,
115851,
115852,
115853,
115854,207Q00000X
115855,
115856,
115857,2084P0800X
115858,
115859,
115860,
115861,207Q00000X
115862,
115863,
115864,
115865,
115866,
115867,207R00000X
115868,2084N0400X
115869,207RG0300X
115870,2084N0400X
115871,
115872,
115873,
115874,
115875,
115876,
115877,207Q00000X
115878,2084P0800X
115879,207Q00000X
115880,
115881,
115882,207Q00000X
115883,
115884,
115885,
115886,207W00000X
115887,2084P0800X
115888,
115889,
115890,
115891,
115892,
115893,
115894,
115895,
115896,
115897,2084P0800X
115898,
115899,
115900,
115901,2085R0001X
115902,2084N0400X
115903,
115904,
115905,
115906,
115907,
115908,
115909,2084P0800X
115910,
115911,
115912,207Q00000X
115913,
115914,2084N0400X
115915,2084N0400X
115916,
115917,2084P0800X
115918,2084P0800X
115919,207K00000X
115920,2084P0800X
115921,
115922,
115923,
115924,2084N0400X
115925,
115926,
115927,
115928,
115929,
115930,207Q00000X
115931,
115932,2084N0600X
115933,2085R0202X
115934,
115935,
115936,
115937,207Q00000X
115938,
115939,207R00000X
115940,
115941,
115942,2084P0800X
115943,
115944,
115945,207R00000X
115946,
115947,2084N0400X
115948,
115949,207V00000X
115950,
115951,
115952,
115953,
115954,
115955,207R00000X
115956,
115957,
115958,
115959,
115960,
115961,
115962,
115963,
115964,207R00000X
115965,
115966,
115967,207Q00000X
115968,
115969,2084P0800X
115970,
115971,
115972,
115973,
115974,
115975,207RC0000X
115976,
115977,
115978,
115979,
115980,
115981,
115982,
115983,
115984,
115985,
115986,2084N0400X
115987,
115988,
115989,2084N0400X
115990,
115991,
115992,2084P0800X
115993,
115994,
115995,2084N0400X
115996,207Q00000X
115997,
115998,207R00000X
115999,207Q00000X
116000,
116001,
116002,
116003,
116004,
116005,
116006,
116007,
116008,
116009,
116010,2084A0401X
116011,2084N0400X
116012,208000000X
116013,
116014,
116015,2084P2900X
116016,
116017,
116018,
116019,
116020,
116021,
116022,207R00000X
116023,
116024,
116025,207R00000X
116026,207R00000X
116027,
116028,
116029,207Q00000X
116030,207N00000X
116031,
116032,
116033,
116034,207Q00000X
116035,2084P0800X
116036,
116037,
116038,2084N0400X
116039,
116040,
116041,174400000X
116042,
116043,
116044,
116045,2084N0400X
116046,
116047,2084N0400X
116048,
116049,
116050,
116051,2084N0400X
116052,207RG0100X
116053,207Q00000X
116054,
116055,
116056,207Q00000X
116057,
116058,
116059,
116060,207Q00000X
116061,
116062,
116063,
116064,207R00000X
116065,2084P0800X
116066,207QS0010X
116067,
116068,
116069,207RC0000X
116070,2084P0800X
116071,
116072,207RC0000X
116073,
116074,2084S0012X
116075,
116076,2084P0804X
116077,
116078,
116079,2084N0400X
116080,
116081,
116082,208000000X
116083,
116084,
116085,208000000X
116086,
116087,207Q00000X
116088,
116089,
116090,
116091,
116092,207R00000X
116093,
116094,
116095,
116096,
116097,2084P0800X
116098,207RH0002X
116099,
116100,2084V0102X
116101,
116102,
116103,
116104,
116105,
116106,2084N0400X
116107,
116108,
116109,
116110,
116111,
116112,
116113,
116114,
116115,207RC0200X
116116,
116117,
116118,
116119,
116120,
116121,
116122,
116123,
116124,
116125,2084N0400X
116126,
116127,2084P0800X
116128,207RH0003X
116129,
116130,
116131,
116132,
116133,
116134,207RP1001X
116135,
116136,2084N0400X
116137,
116138,
116139,
116140,
116141,
116142,
116143,
116144,
116145,
116146,
116147,207T00000X
116148,
116149,
116150,
116151,
116152,2084P0802X
116153,2084N0400X
116154,
116155,
116156,
116157,
116158,
116159,
116160,
116161,
116162,
116163,
116164,
116165,
116166,2084N0400X
116167,
116168,207Q00000X
116169,
116170,
116171,
116172,207Q00000X
116173,207RH0003X
116174,
116175,
116176,
116177,
116178,2084P0800X
116179,
116180,
116181,
116182,
116183,
116184,
116185,
116186,
116187,
116188,
116189,
116190,
116191,
116192,
116193,
116194,
116195,
116196,
116197,
116198,
116199,
116200,2084P0800X
116201,
116202,2084P0800X
116203,
116204,2084N0400X
116205,
116206,
116207,
116208,
116209,
116210,
116211,
116212,
116213,
116214,
116215,
116216,
116217,
116218,
116219,2084N0400X
116220,
116221,
116222,207RG0300X
116223,
116224,
116225,2084P0800X
116226,
116227,
116228,363LF0000X
116229,2084N0400X
116230,
116231,
116232,
116233,
116234,
116235,
116236,2084N0400X
116237,207R00000X
116238,
116239,2084N0400X
116240,207RG0100X
116241,
116242,
116243,
116244,207N00000X
116245,
116246,2084N0400X
116247,
116248,
116249,
116250,
116251,
116252,
116253,2084N0400X
116254,1223P0221X
116255,2084N0400X
116256,
116257,
116258,
116259,
116260,
116261,
116262,2084P0804X
116263,
116264,
116265,
116266,207Q00000X
116267,208800000X
116268,
116269,
116270,
116271,
116272,
116273,207RI0011X
116274,
116275,
116276,
116277,
116278,
116279,
116280,
116281,207Q00000X
116282,
116283,
116284,
116285,
116286,
116287,207Q00000X
116288,
116289,
116290,2084N0400X
116291,2084N0400X
116292,
116293,
116294,
116295,2084P0804X
116296,
116297,208000000X
116298,2084P0800X
116299,
116300,
116301,
116302,174400000X
116303,
116304,207R00000X
116305,207Q00000X
116306,2084N0400X
116307,
116308,
116309,
116310,
116311,
116312,
116313,2084P0800X
116314,
116315,
116316,
116317,207X00000X
116318,
116319,207RG0100X
116320,
116321,
116322,
116323,
116324,
116325,
116326,
116327,
116328,
116329,
116330,2084N0400X
116331,
116332,2084N0400X
116333,
116334,
116335,2084N0400X
116336,
116337,
116338,2084N0400X
116339,
116340,
116341,
116342,207R00000X
116343,207VE0102X
116344,
116345,208000000X
116346,
116347,
116348,
116349,
116350,
116351,2084N0600X
116352,
116353,
116354,
116355,
116356,
116357,2084P0800X
116358,
116359,
116360,
116361,2084N0400X
116362,
116363,
116364,
116365,2084P0800X
116366,
116367,
116368,
116369,
116370,207T00000X
116371,
116372,207R00000X
116373,
116374,
116375,
116376,
116377,
116378,
116379,
116380,
116381,
116382,
116383,
116384,
116385,
116386,
116387,
116388,207N00000X
116389,
116390,
116391,
116392,207T00000X
116393,
116394,2084P0800X
116395,
116396,
116397,
116398,
116399,
116400,
116401,
116402,
116403,
116404,
116405,
116406,2084F0202X
116407,
116408,
116409,
116410,
116411,
116412,
116413,
116414,
116415,
116416,
116417,
116418,2084N0400X
116419,
116420,
116421,
116422,
116423,
116424,207Q00000X
116425,
116426,
116427,2084N0400X
116428,
116429,
116430,
116431,2084P0800X
116432,2084P0800X
116433,
116434,207Q00000X
116435,
116436,2084P0804X
116437,
116438,2084N0400X
116439,207Q00000X
116440,
116441,1223P0221X
116442,
116443,
116444,
116445,207R00000X
116446,
116447,
116448,
116449,
116450,
116451,
116452,
116453,
116454,
116455,
116456,
116457,
116458,207R00000X
116459,
116460,
116461,207Q00000X
116462,
116463,
116464,
116465,
116466,207VG0400X
116467,
116468,
116469,
116470,
116471,
116472,207N00000X
116473,2084N0400X
116474,207Q00000X
116475,
116476,2084N0400X
116477,
116478,
116479,
116480,207Q00000X
116481,2084N0400X
116482,
116483,
116484,207RC0200X
116485,
116486,
116487,
116488,
116489,
116490,
116491,2084P0800X
116492,2084B0040X
116493,
116494,
116495,207Q00000X
116496,207Q00000X
116497,2084P0800X
116498,
116499,207RG0100X
116500,
116501,2084P0800X
116502,
116503,
116504,
116505,
116506,
116507,
116508,
116509,
116510,
116511,
116512,
116513,2085R0001X
116514,
116515,
116516,
116517,
116518,207RH0003X
116519,
116520,
116521,
116522,2084P0800X
116523,
116524,
116525,2084N0400X
116526,2084P0800X
116527,
116528,
116529,2084P0800X
116530,2084N0400X
116531,207R00000X
116532,
116533,2084P0800X
116534,
116535,2084P0800X
116536,2084P0800X
116537,
116538,
116539,
116540,
116541,207Q00000X
116542,
116543,207Q00000X
116544,
116545,174400000X
116546,
116547,
116548,2084P0800X
116549,207Q00000X
116550,207R00000X
116551,207Q00000X
116552,2084P0800X
116553,
116554,
116555,
116556,
116557,390200000X
116558,207L00000X
116559,
116560,
116561,
116562,
116563,207R00000X
116564,207P00000X
116565,
116566,
116567,
116568,2084P0800X
116569,
116570,
116571,
116572,
116573,
116574,
116575,
116576,207RI0200X
116577,207Q00000X
116578,
116579,
116580,363A00000X
116581,
116582,
116583,
116584,
116585,
116586,
116587,
116588,
116589,2084N0400X
116590,207NS0135X
116591,
116592,
116593,
116594,207RG0100X
116595,
116596,
116597,
116598,207Q00000X
116599,
116600,363LF0000X
116601,
