ID,TAXONOMY,IS_HCP
115501,-1,0
115502,2084P0800X,1
115503,-1,0
115504,-1,0
115505,2084P0800X,1
115506,-1,0
115507,-1,0
115508,-1,0
115509,-1,0
115510,-1,0
115511,2084N0400X,1
115512,-1,0
115513,2084P0800X,1
115514,-1,0
115515,-1,0
115516,-1,0
115517,-1,0
115518,-1,0
115519,-1,0
115520,-1,0
115521,-1,0
115522,-1,0
115523,-1,0
115524,-1,0
115525,-1,0
115526,-1,0
115527,-1,0
115528,-1,0
115529,-1,0
115530,2084N0400X,1
115531,-1,0
115532,2084N0400X,1
115533,-1,0
115534,-1,0
115535,-1,0
115536,207Q00000X,1
115537,2084N0600X,1
115538,2084P0800X,1
115539,-1,0
115540,-1,0
115541,-1,0
115542,2084P0800X,1
115543,-1,0
115544,-1,0
115545,2084P0800X,1
115546,-1,0
115547,-1,0
115548,-1,0
115549,-1,0
115550,-1,0
115551,-1,0
115552,2084P0800X,1
115553,-1,0
115554,-1,0
115555,2084P0800X,1
115556,-1,0
115557,-1,0
115558,-1,0
115559,-1,0
115560,-1,0
115561,-1,0
115562,-1,0
115563,-1,0
115564,-1,0
115565,-1,0
115566,207R00000X,1
115567,-1,0
115568,-1,0
115569,-1,0
115570,-1,0
115571,-1,0
115572,-1,0
115573,-1,0
115574,-1,0
115575,-1,0
115576,-1,1
115577,2084P0800X,1
115578,364SP0807X,1
115579,2084N0400X,1
115580,2084P0800X,1
115581,-1,0
115582,207RG0100X,1
115583,-1,0
115584,-1,0
115585,-1,0
115586,-1,0
115587,207R00000X,1
115588,-1,0
115589,-1,0
115590,-1,0
115591,-1,0
115592,-1,0
115593,-1,0
115594,-1,0
115595,2084N0400X,1
115596,-1,1
115597,-1,0
115598,2084P0800X,1
115599,-1,0
115600,-1,0
115601,207P00000X,1
115602,-1,0
115603,-1,0
115604,-1,0
115605,363LF0000X,1
115606,-1,0
115607,2084N0600X,1
115608,207QS0010X,1
115609,-1,0
115610,2084N0400X,1
115611,-1,0
115612,-1,0
115613,-1,0
115614,-1,0
115615,-1,0
115616,2084P0800X,1
115617,2084P0805X,1
115618,-1,0
115619,-1,0
115620,-1,0
115621,-1,1
115622,207ZP0102X,1
115623,207R00000X,1
115624,2084N0400X,1
115625,-1,0
115626,2084N0400X,1
115627,-1,0
115628,207RR0500X,1
115629,-1,0
115630,-1,0
115631,-1,0
115632,-1,0
115633,-1,0
115634,207R00000X,1
115635,207Q00000X,1
115636,-1,0
115637,-1,0
115638,-1,0
115639,-1,0
115640,-1,0
115641,-1,0
115642,-1,0
115643,-1,0
115644,207RH0003X,1
115645,-1,0
115646,207Q00000X,1
115647,207Q00000X,1
115648,-1,0
115649,-1,0
115650,-1,0
115651,-1,0
115652,-1,0
115653,2084P0800X,1
115654,2084N0400X,1
115655,-1,0
115656,-1,0
115657,207R00000X,1
115658,-1,0
115659,-1,0
115660,-1,0
115661,-1,0
115662,-1,0
115663,-1,0
115664,2084P0800X,1
115665,207L00000X,1
115666,-1,0
115667,-1,0
115668,2084N0400X,1
115669,-1,0
115670,-1,0
115671,207RP1001X,1
115672,-1,0
115673,-1,0
115674,-1,0
115675,-1,0
115676,-1,0
115677,-1,0
115678,-1,0
115679,-1,0
115680,-1,0
115681,2084N0400X,1
115682,2084N0400X,1
115683,2084P0800X,1
115684,-1,0
115685,-1,0
115686,-1,0
115687,-1,0
115688,-1,0
115689,-1,0
115690,-1,0
115691,-1,0
115692,-1,0
115693,-1,0
115694,-1,0
115695,-1,0
115696,-1,0
115697,207R00000X,1
115698,-1,0
115699,-1,0
115700,208000000X,1
115701,-1,0
115702,-1,0
115703,207T00000X,1
115704,2084P0800X,1
115705,-1,0
115706,2084P0800X,1
115707,-1,0
115708,-1,0
115709,-1,0
115710,-1,0
115711,207RG0100X,1
115712,-1,0
115713,-1,0
115714,-1,0
115715,-1,0
115716,-1,0
115717,-1,0
115718,-1,0
115719,-1,0
115720,2084N0400X,1
115721,-1,0
115722,-1,0
115723,-1,0
115724,-1,0
115725,-1,0
115726,-1,0
115727,-1,0
115728,-1,0
115729,-1,0
115730,-1,0
115731,-1,0
115732,207RA0401X,1
115733,-1,0
115734,-1,0
115735,2084P0800X,1
115736,2084N0400X,1
115737,2084N0400X,1
115738,-1,0
115739,2084N0600X,1
115740,-1,0
115741,2084P0800X,1
115742,207Q00000X,1
115743,-1,0
115744,-1,0
115745,-1,0
115746,-1,0
115747,2084P0800X,1
115748,-1,1
115749,-1,0
115750,-1,0
115751,-1,0
115752,-1,0
115753,-1,0
115754,207Q00000X,1
115755,-1,0
115756,-1,0
115757,2084P0800X,1
115758,-1,0
115759,-1,0
115760,-1,0
115761,-1,0
115762,-1,0
115763,207RG0100X,1
115764,2084N0400X,1
115765,-1,0
115766,-1,0
115767,-1,0
115768,-1,0
115769,-1,0
115770,207R00000X,1
115771,2084P0800X,1
115772,207R00000X,1
115773,-1,0
115774,-1,0
115775,-1,0
115776,-1,0
115777,-1,0
115778,208000000X,1
115779,2084P0800X,1
115780,-1,0
115781,-1,0
115782,2084P0800X,1
115783,-1,0
115784,2084N0400X,1
115785,2084P0800X,1
115786,-1,0
115787,-1,0
115788,2084P0800X,1
115789,-1,0
115790,-1,0
115791,-1,0
115792,-1,0
115793,-1,0
115794,-1,0
115795,-1,0
115796,2084P0800X,1
115797,-1,0
115798,-1,0
115799,207RP1001X,1
115800,2084P0804X,1
115801,-1,0
115802,207Q00000X,1
115803,-1,0
115804,207R00000X,1
115805,-1,0
115806,-1,0
115807,-1,0
115808,-1,0
115809,-1,0
115810,-1,0
115811,-1,0
115812,-1,0
115813,-1,0
115814,2084N0400X,1
115815,-1,0
115816,2084P0804X,1
115817,-1,0
115818,2084P0800X,1
115819,-1,0
115820,-1,0
115821,-1,0
115822,-1,0
115823,-1,0
115824,-1,0
115825,-1,0
115826,2084P0800X,1
115827,2084P0800X,1
115828,207R00000X,1
115829,-1,0
115830,-1,0
115831,-1,0
115832,-1,0
115833,2084P0800X,1
115834,-1,0
115835,-1,0
115836,363AM0700X,1
115837,-1,0
115838,-1,0
115839,2084P0800X,1
115840,-1,0
115841,-1,0
115842,207Q00000X,1
115843,2084P0800X,1
115844,-1,0
115845,-1,0
115846,-1,0
115847,-1,0
115848,-1,0
115849,-1,0
115850,-1,0
115851,-1,0
115852,-1,0
115853,-1,0
115854,207Q00000X,1
115855,-1,0
115856,-1,0
115857,2084P0800X,1
115858,-1,0
115859,-1,0
115860,-1,0
115861,207Q00000X,1
115862,-1,0
115863,-1,0
115864,-1,0
115865,-1,0
115866,2084P0800X,1
115867,207R00000X,1
115868,2084N0400X,1
115869,207RG0300X,1
115870,2084N0400X,1
115871,-1,0
115872,-1,0
115873,-1,0
115874,-1,0
115875,-1,0
115876,-1,0
115877,207Q00000X,1
115878,207R00000X,1
115879,2084P0800X,1
115880,-1,0
115881,-1,0
115882,207Q00000X,1
115883,-1,0
115884,-1,0
115885,-1,0
115886,207W00000X,1
115887,207R00000X,1
115888,-1,0
115889,-1,0
115890,-1,0
115891,-1,0
115892,-1,0
115893,-1,0
115894,-1,0
115895,-1,0
115896,-1,0
115897,2084P0800X,1
115898,-1,0
115899,-1,0
115900,-1,0
115901,2085R0001X,1
115902,207R00000X,1
115903,-1,0
115904,-1,0
115905,-1,0
115906,-1,0
115907,-1,0
115908,-1,0
115909,2084P0800X,1
115910,-1,0
115911,-1,0
115912,207Q00000X,1
115913,-1,0
115914,2084N0400X,1
115915,2084N0400X,1
115916,-1,0
115917,207Q00000X,1
115918,2084N0400X,1
115919,2084P0800X,1
115920,2084P0800X,1
115921,-1,0
115922,-1,0
115923,-1,0
115924,2084P0800X,1
115925,-1,0
115926,-1,0
115927,-1,0
115928,-1,0
115929,-1,0
115930,207Q00000X,1
115931,-1,0
115932,2084N0600X,1
115933,2085R0202X,1
115934,-1,0
115935,-1,0
115936,-1,0
115937,207Q00000X,1
115938,-1,0
115939,207R00000X,1
115940,-1,0
115941,-1,0
115942,2084P0800X,1
115943,-1,0
115944,-1,0
115945,2084P0800X,1
115946,-1,0
115947,2084N0400X,1
115948,-1,0
115949,207V00000X,1
115950,-1,0
115951,-1,0
115952,-1,0
115953,-1,0
115954,-1,0
115955,2084P0800X,1
115956,-1,0
115957,-1,0
115958,-1,0
115959,-1,0
115960,-1,0
115961,-1,0
115962,-1,0
115963,-1,0
115964,207R00000X,1
115965,-1,0
115966,-1,0
115967,2084P0804X,1
115968,-1,0
115969,2084P0800X,1
115970,-1,0
115971,-1,0
115972,-1,0
115973,-1,0
115974,-1,0
115975,207RC0000X,1
115976,-1,0
115977,-1,0
115978,-1,0
115979,-1,0
115980,-1,0
115981,-1,0
115982,-1,0
115983,-1,0
115984,-1,0
115985,-1,0
115986,2084N0400X,1
115987,-1,0
115988,-1,0
115989,2084N0400X,1
115990,-1,0
115991,-1,0
115992,2084P0800X,1
115993,-1,0
115994,-1,0
115995,2084P0800X,1
115996,2084P0800X,1
115997,-1,0
115998,207Q00000X,1
115999,207Q00000X,1
116000,-1,0
116001,-1,0
116002,-1,0
116003,-1,0
116004,-1,0
